Date,CementType,Price Before VAT,Quantity In Quintal,Quantity In Ton,Transportation,  Sales,Tax,advertisement,Fuel
02-02-2020,PPC-Bag,264.7512,2800,280,25,874737.96,133434.6048,41889.46328,95956.4032
02-02-2020,PPC-Bag,264.7512,400,40,65,124962.57,19062.0864,6086.902,15308.0576
02-02-2020,OPC-Bag,356.5512,1200,120,45,504876.5,77015.0592,24265.89576,56743.3728
02-02-2020,PPC-Bag,264.7512,1200,120,45,374887.7,57186.2592,18087.75576,43524.1728
02-02-2020,OPC-Bag,356.5512,2800,280,80,1178045.16,179701.8048,57062.88328,142201.2032
02-02-2020,PPC-Bag,264.7512,1200,120,80,374887.7,57186.2592,18297.75576,47724.1728
02-03-2020,OPC-Bag,352.5579,1200,120,45,499221.99,76152.5064,23997.14667,56168.3376
02-03-2020,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
02-03-2020,PPC-Bag,264.7512,400,40,30,124962.57,19062.0864,6016.902,13908.0576
02-03-2020,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
02-03-2020,OPC-Bag,352.5579,400,40,27,166407.33,25384.1688,7986.55275,18002.7792
02-05-2020,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
02-05-2020,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
02-06-2020,OPC-Bag,363.2067,800,80,70,342867.12,52301.7648,16587.98083,40467.8432
02-06-2020,OPC-Bag,352.5579,1200,120,90,499221.99,76152.5064,24267.14667,61568.3376
02-06-2020,PPC-Bag,264.7512,1200,120,90,374887.7,57186.2592,18357.75576,48924.1728
02-06-2020,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
02-06-2020,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
02-08-2020,OPC-Bag,379.1799,800,80,28,357945.83,54601.9056,17137.17751,38641.2704
02-08-2020,PPC-Bag,264.7512,400,40,28,124962.57,19062.0864,6012.902,13828.0576
02-08-2020,OPC-Bag,379.1799,400,40,28,178972.91,27300.9528,8587.54775,19320.6352
02-08-2020,PPC-Bag,264.7512,400,40,30,124962.57,19062.0864,6016.902,13908.0576
02-08-2020,PPC-Bag,264.7512,10000,1000,25,3124064.16,476552.16,149537.1471,342701.44
02-08-2020,OPC-Bulk,339.2622,1200,120,25,480395.28,73280.6352,22982.34606,51853.7568
2-14-2020,OPC-Bulk,339.2622,800,80,28,320263.52,48853.7568,15344.87278,34809.1712
2-14-2020,OPC-Bag,352.5579,1600,160,22,665629.32,101536.6752,31800.44363,71211.1168
2-15-2020,PPC-Bag,264.7512,10000,1000,25,3124064.16,476552.16,149537.1471,342701.44
2-21-2020,PPC-Bag,264.7512,400,40,30,124962.57,19062.0864,6016.902,13908.0576
2-21-2020,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
2-22-2020,OPC-Bag,352.5579,400,40,23,166407.33,25384.1688,7978.55275,17842.7792
2-24-2020,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
2-26-2020,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
2-26-2020,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
